name,demand,cutoff,yield
Northern Illinois University,2679,0.09768603555787397,0.18
Northwestern University,2037,0.9267614348495263,0.41
Rockford University,113,0.09931651203172293,0.26
Roosevelt University,444,0.11167532891596894,0.17
Dominican University,497,0.14147784412074446,0.24
University of St Francis,237,0.18187618541789285,0.27
Saint Xavier University,594,0.0978371933491157,0.11
Southern Illinois University-Edwardsville,1966,0.1394181006563261,0.31
Trinity Christian College,205,0.1471053437134375,0.39
Wheaton College,598,0.7705566553028496,0.44
Ball State University,3616,0.15954565970611367,0.35
Bethel College-Indiana,250,0.15425477812767216,0.28
Butler University,1015,0.5604738113311974,0.16
Calumet College of Saint Joseph,192,0.0,0.88
DePauw University,641,0.5659213557183754,0.21
Earlham College,254,0.6401413343774359,0.21
University of Evansville,543,0.39873083192506914,0.22
Franklin College,296,0.0731414467548563,0.22
Hanover College,334,0.3194498062152304,0.16
Holy Cross College,157,0.09159294421694958,0.3
Huntington University,227,0.17096190291493765,0.3
Indiana University-Purdue University-Fort Wayne,1660,0.05835682119927791,0.54
Indiana University-Purdue University-Indianapolis,3796,0.06089174597189534,0.45
University of Indianapolis,830,0.07806625220464235,0.19
University of Southern Indiana,1709,0.06696973514596706,0.4
Indiana State University,2661,0.0,0.29
Indiana University-Kokomo,508,0.01626642890844118,0.65
Indiana University-South Bend,921,0.014811919477869284,0.54
Indiana University-Bloomington,7604,0.5224954947059037,0.28
Indiana University-Northwest,830,0.005405409059392387,0.61
Indiana University-Southeast,1026,0.006355810652252587,0.62
Indiana University-East,404,0.023230170336771775,0.62
Manchester University,359,0.05880713296729219,0.23
Indiana Wesleyan University,1437,0.22231419804481362,0.44
Oakland City University,108,0.052937103462641945,0.23
Purdue University-North Central Campus,653,0.008750979395668212,0.55
University of Saint Francis-Fort Wayne,388,0.06516642800268643,0.38
Saint Mary-of-the-Woods College,64,0.0,0.2
Saint Mary's College,437,0.38915249676258484,0.33
Taylor University,459,0.568179574154838,0.32
Valparaiso University,876,0.41969625753893436,0.18
Coe College,390,0.4644393938813924,0.21
