name,demand,cutoff,yield,trueyield,preferability
Pennsylvania State University-Penn State Beaver,208,0.0,0.36,0.0002762331886207863,1.6366206533883148e-6
Southern Wesleyan University,158,0.0,0.24,0.00020983097981771266,1.2432022270930467e-6
Paul Quinn College,70,0.0,0.11,9.296309232430308e-5,5.507857968133752e-7
Prairie View A & M University,1464,0.0,0.32,0.0019442566737539958,1.1519291521925446e-5
Sul Ross State University,310,0.0,0.36,0.00041169369457905646,2.4391942430306616e-6
Texas Southern University,1110,0.0,0.25,0.0014741290354282346,8.73388906375495e-6
College of St Joseph,33,0.0,0.26,4.382545781002859e-5,2.596561613548769e-7
Southern Vermont College,93,0.0,0.28,0.00012350810837371694,7.317582729091984e-7
Vermont Technical College,194,0.0,0.41,0.0002576405701559257,1.52646349402564e-6
Ferrum College,569,0.0,0.23,0.0007556571361789779,4.477101691240149e-6
Norfolk State University,829,0.0,0.38,0.0011009486219549607,6.522877507975544e-6
Virginia State University,1244,0.0,0.23,0.0016520869550204719,9.788250446226266e-6
Rhode Island College,1071,0.001059301775375431,0.34,0.001423843592607343,8.728968953583137e-6
Fayetteville State University,612,0.0010813705623624193,0.28,0.0008136428852139673,4.991537275518974e-6
Pennsylvania State University-Penn State Fayette- Eberly,224,0.0012272132996985557,0.41,0.00029784741775011365,1.8353915218152598e-6
Cabrini College,304,0.0013482022595687306,0.19,0.00040427046788096165,2.5003632294806134e-6
LIU Brooklyn,879,0.0014049686704979403,0.18,0.001168993229621677,7.242432047244249e-6
Keystone College,321,0.0014124023671672416,0.4,0.00042690514234934276,2.6454373591261446e-6
Pennsylvania State University-Penn State Dubois,183,0.001573496020162214,0.47,0.00024341509690547765,1.5153816134346815e-6
Lock Haven University,1052,0.0017526629374393496,0.32,0.0013995554221339355,8.757765833507563e-6
Pennsylvania State University-Penn State Schuylkill,248,0.0018408199495478336,0.44,0.0003299623569525232,2.069775593465618e-6
University of Maine at Machias,104,0.0019021806145327615,0.27,0.00013837981771709718,8.694825701980799e-7
Bowie State University,627,0.002076231479735845,0.3,0.0008344161394464617,5.267907535846415e-6
Pennsylvania State University-Penn State Worthington Scranton,282,0.00213207531068463,0.48,0.0003753086439429726,2.372977353197521e-6
Southern University at New Orleans,684,0.0021999999999999997,0.9,0.0009103850635658921,5.7665119150857425e-6
University of Washington-Tacoma Campus,410,0.002404901327879357,0.4,0.000545810733142108,3.47569147333094e-6
St Thomas Aquinas College,337,0.002579169540044528,0.22,0.0004487081818076032,2.870181288387881e-6
Castleton State College,480,0.002746337936158525,0.23,0.0006392167096085312,4.1062568340909085e-6
Lane College,405,0.002954822954822955,0.18,0.0005394518760913936,3.483637272681059e-6
Pennsylvania State University-Penn State Abington,691,0.003003443075578044,0.28,0.0009204430238850291,5.951185468943893e-6
Pennsylvania State University-Penn State Greater Allegheny,201,0.0031354625514276283,0.36,0.00026777648252145504,1.7369087372113344e-6
La Roche College,229,0.0032019803664757353,0.28,0.00030509903744580934,1.9821963393565986e-6
Eastern Nazarene College,165,0.0032239619250556597,0.31,0.0002198360320472185,1.42900870498447e-6
North Carolina A & T State University,1849,0.0032356854229649533,0.59,0.0024635248730585295,1.6018249644216074e-5
Centenary College,216,0.003566588652248928,0.23,0.00028788430693154065,1.8859440609942866e-6
Edinboro University of Pennsylvania,1191,0.0036318918012871924,0.43,0.0015874661188711632,1.0414916308448799e-5
Concordia College-New York,153,0.0036752136752136832,0.17,0.00020394028305461455,1.3392566495478097e-6
La Sierra University,477,0.003707556213814009,0.29,0.00063583446399928,4.1783936841404635e-6
