score,freq,percentile
600,275,0.0
610,157,0.00016190556372279178
620,189,0.0002543389219208947
630,231,0.00036561220026128615
640,317,0.0005016128737884313
650,340,0.0006882458326979766
660,369,0.0008884199842097919
670,553,0.0011056678133505562
680,531,0.0014312451833094792
690,702,0.001743870108170579
700,822,0.002157170856292033
710,891,0.0026411213049470686
720,988,0.003165695331408914
730,1085,0.003747377865802071
740,1275,0.00438616890812654
750,1308,0.005136821976295848
760,1533,0.00590690371211189
770,1620,0.006809453636428399
780,1815,0.007763224593631754
790,1801,0.00883180131420218
800,2032,0.009892135569710353
810,2227,0.011088470498745673
820,2396,0.012399611191148064
830,2532,0.013810250211801914
840,2614,0.015300958893060492
850,2917,0.016839944869683685
860,3138,0.01855732134015417
870,3250,0.020404811009107335
880,3469,0.022318240398558512
890,3781,0.024360605491483472
900,3983,0.026586659805795748
910,4232,0.02893164111600622
920,4314,0.031423220554823876
930,4546,0.03396307728900614
940,4918,0.03663952344422
950,5356,0.039534983671087966
960,5642,0.0426883153049035
970,5826,0.04601002872499074
980,6088,0.04944007168589614
990,6389,0.053024366492966525
1000,6951,0.05678587429887531
1010,7456,0.06087825820228304
1020,7869,0.06526795959543627
1030,8108,0.06990081370792589
1040,8607,0.07467437847397825
1050,9080,0.0797417282447494
1060,9440,0.08508755558512376
1070,9821,0.09064533202709887
1080,10393,0.0964274212682681
1090,10859,0.10254627408198073
1100,11325,0.10893948323276545
1110,11638,0.11560704872062223
1120,12096,0.12245889217737078
1130,12632,0.12958038199115585
1140,12777,0.13701744046732423
1150,13555,0.14453986733163735
1160,13806,0.15252033975440987
1170,14245,0.16064858780079846
1180,14697,0.16903529600163908
1190,15118,0.1776881180744895
1200,15813,0.18658880284671192
1210,16194,0.1958986671345247
1220,16449,0.20543284422153155
1230,16714,0.2151171519221723
1240,17132,0.22495747771149135
1250,17612,0.23504389995766906
1260,17629,0.24541292100598108
1270,17808,0.2557919507618687
1280,18212,0.2662763663210523
1290,18473,0.2769986358720322
1300,18905,0.2878745685216727
1310,19219,0.2990048400932341
1320,19257,0.31031997838119163
1330,19492,0.3216574890743182
1340,19518,0.33313335543098965
1350,19717,0.34462452922277675
1360,20172,0.3562328637679487
1370,19933,0.3681090784276438
1380,20282,0.3798445824337762
1390,20066,0.3917855593189604
1400,20459,0.4035993667431842
1410,20432,0.4156445519366555
1420,20404,0.42767384094750666
1430,20268,0.4396866450282334
1440,20358,0.45161937944835534
1450,20220,0.46360510114387754
1460,20270,0.47550957568378605
1470,20001,0.4874434875989169
1480,20198,0.4992190264353517
1490,19706,0.5111105485301625
1500,20039,0.5227124068527854
1510,19928,0.5345103180943892
1520,19663,0.5462428783629993
1530,19592,0.5578194205429312
1540,19197,0.5693541616500473
1550,19320,0.5806563474929071
1560,18985,0.5920309492788137
1570,18538,0.6032083206507308
1580,18384,0.6141225218881603
1590,18395,0.624946056009905
1600,18080,0.6357760663541987
1610,17982,0.6464206212345918
1620,17577,0.657007478859549
1630,17544,0.6673558937452054
1640,16887,0.677684879963215
1650,16867,0.6876270590708033
1660,16475,0.6975574632283027
1670,16319,0.707257078364059
1680,16012,0.7168648488891217
1690,15739,0.7262918739303194
1700,15578,0.7355581709028031
1710,15211,0.7447296795270709
1720,14871,0.7536851178172068
1730,14416,0.762440381955831
1740,14385,0.770927765979932
1750,13814,0.7793968988313951
1760,13719,0.7875298568578193
1770,13161,0.795606883871321
1780,13008,0.8033553897773416
1790,12546,0.8110138173151819
1800,12634,0.8184002435059679
1810,12190,0.8258384794771452
1820,11794,0.8330153115563481
1830,11568,0.8399589996237904
1840,11283,0.8467696307552276
1850,10897,0.8534124688478977
1860,10396,0.8598280504038514
1870,10215,0.8659486694600773
1880,9913,0.8719627252179984
1890,9441,0.8777989792295768
1900,9191,0.8833573444190563
1910,8944,0.8887685227324242
1920,8884,0.8940342804121939
1930,8379,0.8992647132416968
1940,8087,0.9041978285814541
1950,7808,0.908959029649913
1960,7635,0.9135559701646314
1970,7258,0.9180510573610806
1980,6878,0.9223241867483534
1990,6651,0.9263735920839365
2000,6478,0.9302893517360104
2010,6478,0.9341032580698149
2020,6092,0.9379171644036194
2030,5817,0.9415038142007076
2040,5687,0.944928558434073
2050,5362,0.9482767654918602
2060,5099,0.9514336296107024
2070,4905,0.9544356531358753
2080,4643,0.9573234596451854
2090,4385,0.9600570143083306
2100,4338,0.9626386721153286
2110,4169,0.9651926587896176
2120,3782,0.967647147135655
2130,3704,0.9698737901974718
2140,3544,0.9720545109539417
2150,3194,0.9741410321097002
2160,3115,0.9760214916389023
2170,3038,0.9778554401152532
2180,2777,0.9796440550337617
2190,2657,0.9812790068536097
2200,2614,0.982843308972924
2210,2409,0.9843822949495473
2220,2314,0.9858005876877589
2230,2148,0.9871629494130482
2240,2063,0.9884275790525993
2250,1942,0.9896421651542725
2260,1744,0.9907855128079076
2270,1790,0.9918122884556623
2280,1557,0.9928661464886216
2290,1357,0.9937828263530448
2300,1410,0.9945817567165787
2310,1280,0.9954118906978483
2320,1300,0.9961654875035398
2330,1074,0.9969308592593203
2340,820,0.9975631740790959
2350,926,0.998045947032742
2360,597,0.9985911272218595
2370,552,0.9989426094820141
2380,387,0.9992675981044685
2390,353,0.9994954433886893
2400,504,0.9997032712577589
